example,label,explanation
I cannot locate the card PIN.,get_physical_card,"The output ""get_physical_card"" is correct because the customer's complaint is about not being able to locate the card PIN. This indicates that the customer needs assistance in obtaining their physical card, which would include retrieving the PIN. Therefore, the appropriate category for this complaint is ""get_physical_card"". So, the answer is get_physical_card."
How long can an EU transfer take?,pending_transfer,"The input query ""How long can an EU transfer take?"" is asking about the duration of a transfer within the European Union. This falls under the category of ""pending_transfer"" because the query is related to the status or timeframe of a transfer. The customer is inquiring about the time it takes for an EU transfer to be completed, suggesting that they have initiated a transfer and are waiting for it to be processed. So, the answer is ""pending_transfer""."
"Hi, I'm buying a flat and I'm trying to get my mortgage to go though. Every time I check I simply get an error message. Is there any way you can help me get this money transferred over. Thanks!",failed_transfer,"The output ""failed_transfer"" is correct for the given input example because the customer is experiencing an error message every time they try to transfer money for their mortgage. This indicates that the transfer process is not successful and has failed. The customer is seeking assistance to resolve this issue and complete the transfer. Therefore, the complaint falls under the category of ""failed_transfer"". So, the answer is failed_transfer."
I just got this card & I don't know how to activate it.,activate_my_card,"The input example mentions that the person just received a card and does not know how to activate it. This indicates that the person is seeking assistance with activating their card. Therefore, the correct category for this input is ""activate_my_card"". So, the answer is activate_my_card."
"I would like to use the bank transfer feature, but I can't find it. Can you please give me the details?",transfer_into_account,"The output is correct because the customer's query indicates that they are looking for information about the bank transfer feature. They specifically mention that they cannot find it, suggesting that they are having trouble locating or accessing this feature. Therefore, the appropriate category for this query is ""transfer_into_account"". So, the answer is transfer_into_account."
What do I do if I notice a strange withdrawl in my statement?,cash_withdrawal_not_recognised,"The input example mentions a ""strange withdrawal"" in the customer's statement. This indicates that the customer has noticed a withdrawal from their bank account that they do not recognize or did not authorize. This aligns with the category ""cash_withdrawal_not_recognised"" as it specifically addresses situations where customers have concerns about unauthorized or unrecognized cash withdrawals from their account. So, the answer is cash_withdrawal_not_recognised."
I sent my friend some money a few hours ago but she has not received it yet. She really needs it. How long does this take?,transfer_not_received_by_recipient,"The output ""transfer_not_received_by_recipient"" is correct for the given input example. 

In the input, the customer mentions that they sent money to their friend a few hours ago but their friend has not received it yet. This indicates that there is an issue with the transfer not being received by the intended recipient. 

The category ""transfer_not_received_by_recipient"" specifically addresses situations where a transfer has been made but the recipient has not received the funds. In this case, the customer's complaint aligns with this category as they are concerned about the delay in their friend receiving the money. 

So, the answer is transfer_not_received_by_recipient."
I am experiencing difficulty providing my identity.,unable_to_verify_identity,"The input example mentions that the customer is experiencing difficulty providing their identity. This indicates that the customer is facing an issue related to the verification process. The category ""unable_to_verify_identity"" specifically addresses problems encountered while verifying one's identity. Therefore, based on the customer's complaint, it is appropriate to classify this input example as ""unable_to_verify_identity"". So, the answer is unable_to_verify_identity."
"I received my American Express card, but I am having problems making it work with Apple pay.  Can you help me with this problem?",apple_pay_or_google_pay,"The output is correct because the input example mentions that the customer is having problems making their American Express card work with Apple Pay. This indicates that the customer is experiencing difficulties with using Apple Pay specifically, which falls under the category of ""apple_pay_or_google_pay"". So, the answer is apple_pay_or_google_pay."
can you check why I wasn't able to top up?,top_up_failed,"The output ""top_up_failed"" is correct because the customer's query indicates that they were not able to successfully top up their account. This suggests that there was an issue or error during the top-up process, resulting in the failure of the transaction. So, the answer is top_up_failed."
How can my friend send me money?,receiving_money,"The input ""How can my friend send me money?"" indicates that the customer is seeking information on how to receive money from someone else. This falls under the category of ""receiving_money"" as it pertains to the process of accepting funds from another person. So, the answer is receiving_money."
"Why does my transfer say ""pending""?",pending_transfer,"The output is correct because the input example mentions a transfer that is labeled as ""pending"". This indicates that the customer is inquiring about the status of their transfer, specifically why it is still in a pending state. The category ""pending_transfer"" accurately captures this query and addresses the customer's concern about the transfer not being completed yet. So, the answer is pending_transfer."
i have not received my card,card_arrival,"The input ""i have not received my card"" indicates that the customer is experiencing an issue related to the arrival of their card. This falls under the category of ""card_arrival"" because the customer is expecting to receive their card but has not received it yet. So, the answer is card_arrival."
I would prefer a visa card,visa_or_mastercard,"The input example ""I would prefer a visa card"" indicates that the customer is expressing a preference for a specific type of card, namely a visa card. This falls under the category of ""visa_or_mastercard"" as it pertains to the customer's choice between Visa and Mastercard. So, the answer is visa_or_mastercard."
Is there a way to reset my passcode?,passcode_forgotten,"The output is correct because the customer's query is about resetting their passcode. This falls under the category of ""passcode_forgotten"" as the customer is seeking assistance in resetting their passcode. So, the answer is passcode_forgotten."
I made a purchase and it says it's pending. What does that mean?,pending_card_payment,"The output is correct because the customer's query is related to a pending card payment. The customer mentions making a purchase and seeing that it is pending. This indicates that the payment has not been processed yet and is awaiting approval or verification. Therefore, the query falls under the category of ""pending_card_payment"". So, the answer is pending_card_payment."
I was charged for something I didn't expect,transfer_fee_charged,"The input example states that the person was charged for something they didn't expect. This indicates that there was a charge that the person was not aware of or did not authorize. The category ""transfer_fee_charged"" specifically refers to unexpected charges related to transfers. Therefore, based on the input example, it can be concluded that the correct category for this input is ""transfer_fee_charged"". So, the answer is transfer_fee_charged."
There appears to have been a reversion in my top up,top_up_reverted,"The input example mentions a ""reversion"" in the top-up process. This suggests that there was a reversal or cancellation of a previously made top-up transaction. The category ""top_up_reverted"" specifically addresses situations where a top-up transaction is reversed or cancelled. Therefore, based on the mention of a reversion in the input, the correct category for this input example is ""top_up_reverted"". So, the answer is top_up_reverted."
"If the transfer details have already but reviewed and confirmed that they are correct, what other reason would cause my transfer to be declined?",declined_transfer,"The output is correct because the customer's query is related to a declined transfer. The customer states that they have already reviewed and confirmed the transfer details as correct, indicating that there is no issue with the information provided. Therefore, the customer is seeking to understand what other reasons could cause their transfer to be declined. This aligns with the category ""declined_transfer"" as it addresses concerns regarding transfers that have been declined for reasons other than incorrect transfer details. So, the answer is declined_transfer."
I'd like to know why my top-up was canceled please.,top_up_reverted,"The output is correct because the customer's query is about a canceled top-up. The category ""top_up_reverted"" specifically refers to cases where a top-up transaction has been canceled or reversed. In this case, the customer is seeking information about why their top-up was canceled, which aligns with the ""top_up_reverted"" category. So, the answer is top_up_reverted."
My top-up has failed.,top_up_failed,"The input ""My top-up has failed"" indicates that the customer is experiencing an issue with their top-up transaction. This falls under the category of ""top_up_failed"" because the customer's attempt to add funds to their account was unsuccessful. The phrase ""top-up has failed"" clearly indicates that the customer's top-up transaction did not go through as expected. Therefore, the correct category for this input is ""top_up_failed"". So, the answer is top_up_failed."
How long does a transfer take to be confirmed?,pending_transfer,"The output is correct because the customer's query is related to the time it takes for a transfer to be confirmed. This falls under the category of ""pending_transfer"" as the customer is inquiring about the status of a transfer that is currently pending and has not been confirmed yet. So, the answer is pending_transfer."
How do you get a virtual card?,getting_virtual_card,"The input question ""How do you get a virtual card?"" is asking about the process of obtaining a virtual card. This falls under the category of ""getting_virtual_card"" because the customer is inquiring about the steps or requirements for acquiring a virtual card. The output is correct because it accurately identifies the category that the input question belongs to. So, the answer is getting_virtual_card."
How do I top up my account with a cash payment?,top_up_by_cash_or_cheque,"The input example mentions ""top up"" and ""cash payment"". This indicates that the customer is looking for information on how to add funds to their account using cash. The category ""top_up_by_cash_or_cheque"" specifically addresses this type of query, as it covers both cash and cheque payments for topping up the account. Therefore, the output ""top_up_by_cash_or_cheque"" is correct for this input example. So, the answer is top_up_by_cash_or_cheque."
can i get a description of how to use a disposable virtual card,get_disposable_virtual_card,"The input query is asking for a description of how to use a disposable virtual card. This falls under the category of ""get_disposable_virtual_card"" because the customer is seeking information on how to obtain and utilize a disposable virtual card. So, the answer is get_disposable_virtual_card."
did not receive correct cash upon withdrawal,wrong_amount_of_cash_received,"The input example states that the user did not receive the correct amount of cash upon withdrawal. This falls under the category of ""wrong_amount_of_cash_received"" because it indicates an issue with the cash withdrawal process. The user expected to receive a specific amount of cash, but the actual amount received was different. So, the answer is wrong_amount_of_cash_received."
Help me cancel my transaction,cancel_transfer,"The input ""Help me cancel my transaction"" indicates that the customer is seeking assistance with canceling a transaction. This falls under the category of ""cancel_transfer"" because the customer wants to cancel a transfer that has already been initiated. So, the answer is cancel_transfer."
Can you please check if I was charged twice?,transaction_charged_twice,"The input mentions being charged twice for a transaction. This falls under the category of ""transaction_charged_twice"" as it indicates a situation where the customer believes they have been charged multiple times for a single transaction. So, the answer is transaction_charged_twice."
I attempted to get money using a foreign currency at an ATM but the rate was highly inaccurate!,wrong_exchange_rate_for_cash_withdrawal,"The input example mentions that the user attempted to get money using a foreign currency at an ATM but the rate was highly inaccurate. This indicates that the user is facing an issue related to the exchange rate provided by the ATM for cash withdrawal. The category ""wrong_exchange_rate_for_cash_withdrawal"" specifically addresses complaints or queries related to inaccurate exchange rates during cash withdrawals. Therefore, based on the provided input, the correct category for this example is ""wrong_exchange_rate_for_cash_withdrawal"". 

So, the answer is wrong_exchange_rate_for_cash_withdrawal."
Is it possible to deposit money in GBP?,receiving_money,"The output is correct because the customer's query is related to depositing money. Specifically, the customer is asking if it is possible to deposit money in GBP (British Pound). This falls under the category of ""receiving_money"" as it involves the process of depositing funds into the customer's account. So, the answer is receiving_money."
Is there a reason I was charged a fee for using my card as payment? I've never had an extra fee before.,card_payment_fee_charged,"The input example mentions being charged a fee for using the card as payment and expresses surprise as they have never had an extra fee before. This complaint/query falls under the category of ""card_payment_fee_charged"" because the customer is specifically questioning the reason for the fee charged on their card payment. The mention of never having had an extra fee before indicates that the customer is not familiar with this charge, which aligns with the category of card payment fee being charged. So, the answer is card_payment_fee_charged."
My account balance has not gone up even though I just transferred money into it,balance_not_updated_after_bank_transfer,"The output is correct because the input example mentions that the account balance has not increased after a money transfer. This aligns with the category ""balance_not_updated_after_bank_transfer"" as it specifically addresses situations where the balance does not reflect the recent transfer. So, the answer is balance_not_updated_after_bank_transfer."
How can I top up with this cheque I got?,top_up_by_cash_or_cheque,"The input query mentions ""top up"" and ""cheque"". This indicates that the customer is asking about how to add funds to their account using a cheque. This falls under the category of ""top_up_by_cash_or_cheque"" as it involves adding funds to the account using a cheque. So, the answer is top_up_by_cash_or_cheque."
Are there restrictions for my disposable card since it does not seem to be working?,virtual_card_not_working,"The output is correct because the input example mentions that the disposable card is not working. This indicates an issue with the functionality or usability of the card. The category ""virtual_card_not_working"" specifically addresses problems related to virtual cards not functioning properly. Therefore, based on the input example, it can be concluded that the correct category for this query is ""virtual_card_not_working"". So, the answer is virtual_card_not_working."
My top-up was revoked.,top_up_reverted,"The input ""My top-up was revoked"" indicates that the user's top-up transaction was cancelled or reversed. This falls under the category of ""top_up_reverted"" because the user's attempt to add funds to their account was undone or invalidated. So, the answer is top_up_reverted."
Can I get one of your cards in the EU,country_support,"The input query ""Can I get one of your cards in the EU"" is asking about the availability of bank cards in the European Union (EU). This falls under the category of ""country_support"" because it is related to the bank's support for providing cards in a specific country or region. The mention of the EU indicates that the customer is specifically interested in obtaining a card within the EU. So, the answer is ""country_support""."
How do I select a Mastercard instead of a Visa?,visa_or_mastercard,"The output is correct because the input query is asking about how to select a Mastercard instead of a Visa. This falls under the category of ""visa_or_mastercard"" as it pertains to the choice between these two types of cards. So, the answer is visa_or_mastercard."
Will you deal with SWIFT transfers?,top_up_by_bank_transfer_charge,"The output is correct because the customer's query is related to SWIFT transfers, which falls under the category of ""top_up_by_bank_transfer_charge"". This category specifically deals with any charges or fees associated with topping up the customer's account using a bank transfer. Since the customer is asking about SWIFT transfers, it implies that they are interested in using this method to top up their account, and therefore the correct category is ""top_up_by_bank_transfer_charge"". So, the answer is top_up_by_bank_transfer_charge."
In what countries do you do business?,country_support,"The output is correct because the input question is asking about the countries in which the bank does business. This falls under the category of ""country_support"" as it pertains to the bank's support for different countries in terms of providing services and conducting business operations. So, the answer is country_support."
"Is there a local ATM that will provide British pounds, I have no money for my homeward journey and do not feel comfortable waiting until  I arrive in Britain. Will a withdrawal involve extra charges?",wrong_exchange_rate_for_cash_withdrawal,"The output is ""wrong_exchange_rate_for_cash_withdrawal"" because the customer's query is related to withdrawing cash from an ATM and they are concerned about extra charges. However, the specific issue mentioned in the query is about the exchange rate for cash withdrawal. The customer wants to know if there will be any additional charges involved when withdrawing British pounds from a local ATM and if the exchange rate provided by the ATM is accurate. Therefore, the query falls under the category of ""wrong_exchange_rate_for_cash_withdrawal"".

So, the answer is wrong_exchange_rate_for_cash_withdrawal."
I want to change my personal details.,edit_personal_details,"The input example ""I want to change my personal details"" indicates that the customer is seeking assistance with updating their personal information. This falls under the category of ""edit_personal_details"" because the customer wants to make changes to their personal details. So, the answer is edit_personal_details."
On my last transaction it seem that my top-up was not successful.,top_up_reverted,"The customer's complaint states that their last transaction, specifically their top-up, was not successful. This indicates that there was an issue with the top-up process, resulting in the customer's funds being reverted or reversed. The category ""top_up_reverted"" accurately describes this situation, as it refers to cases where a top-up transaction is unsuccessful and the funds are returned to the customer. So, the answer is top_up_reverted."
There's a refund missing from my statement,Refund_not_showing_up,"The input ""There's a refund missing from my statement"" indicates that the customer is experiencing an issue related to a missing refund. This falls under the category of ""Refund_not_showing_up"" because the customer is specifically mentioning that a refund is not appearing on their statement. The category ""Refund_not_showing_up"" is relevant to situations where customers have not received the expected refund amount or the refund transaction is not reflecting in their bank statement. So, the answer is Refund_not_showing_up."
How do I go through the process of currency exchange?,exchange_via_app,"The output is correct because the input example is asking about the process of currency exchange. This falls under the category of ""exchange_via_app"" because the customer is specifically inquiring about how to go through the process of currency exchange, indicating that they are looking for information on how to exchange currency using the bank's app. So, the answer is exchange_via_app."
What should I do with my atm that got stuck?,card_swallowed,"The output is correct because the input example mentions an ATM that got stuck. This falls under the category of ""card_swallowed"" because when an ATM gets stuck, it usually means that the card inserted into the machine has been swallowed by the ATM and cannot be retrieved. So, the answer is card_swallowed."
I need to update my current address,edit_personal_details,"The input ""I need to update my current address"" indicates that the customer wants to make changes to their personal details, specifically their address. This falls under the category of ""edit_personal_details"" as it involves updating personal information. So, the answer is edit_personal_details."
do i have to setup apple pay to use it,apple_pay_or_google_pay,"The output is correct because the input query is asking about the setup process for Apple Pay. This falls under the category of ""apple_pay_or_google_pay"" as it pertains to the usage and setup of mobile payment services like Apple Pay or Google Pay. So, the answer is apple_pay_or_google_pay."
Do you have to order a new card before your current card expires?,card_about_to_expire,"The output is correct because the input query is asking about the process of ordering a new card before the current card expires. This falls under the category of ""card_about_to_expire"" as it pertains to the expiration of a card and the need to order a new one. So, the answer is card_about_to_expire."
The app reverted my top off.,top_up_reverted,"The input example ""The app reverted my top off"" indicates that there was a reversal or cancellation of a top-up transaction made through the app. This falls under the category of ""top_up_reverted"" because the action of reverting implies that the top-up was not successful or was reversed for some reason. So, the answer is top_up_reverted."
Explain what the pending payment means?,pending_card_payment,"The output is correct because the input example is asking for an explanation of what ""pending payment"" means. ""Pending card payment"" is a specific category that refers to a situation where a payment made with a card is still in the process of being authorized or processed by the bank. It indicates that the payment has not yet been completed or finalized. So, the answer is pending_card_payment."
I'm pretty sure something went wrong with my exchange. I changed Russian Ruble to UK pounds and was charged way too much!,card_payment_wrong_exchange_rate,"The output is correct because the customer's complaint is related to an issue with the exchange rate during a card payment. The customer states that they changed Russian Ruble to UK pounds and were charged way too much, indicating that they believe the exchange rate used for the transaction was incorrect. This falls under the category of ""card_payment_wrong_exchange_rate"". So, the answer is card_payment_wrong_exchange_rate."
I have tried transferring money numerous times.  All I keep getting is an error message.  Can you tell me what is going on and how this van be fixed?,beneficiary_not_allowed,"The output ""beneficiary_not_allowed"" is correct for the given input example. 

In the input, the customer mentions that they have tried transferring money numerous times but keep getting an error message. This indicates that the customer is facing an issue with transferring money. 

The term ""beneficiary"" refers to the recipient or the person to whom the money is being transferred. The phrase ""beneficiary_not_allowed"" suggests that the customer is unable to transfer money to a particular beneficiary. 

Based on the information provided in the input, it can be inferred that the customer is experiencing a problem with transferring money to a specific recipient. This could be due to various reasons such as the recipient's account being restricted, the recipient's account being closed, or the customer not having the necessary authorization to transfer money to that particular beneficiary. 

Therefore, the output ""beneficiary_not_allowed"" is appropriate for this input example as it accurately captures the issue described by the customer. 

So, the answer is beneficiary_not_allowed."
How old do you have to be to get an account?,age_limit,"The output is correct because the input question is asking about the age requirement to open a bank account. This falls under the category of ""age_limit"" as it pertains to the eligibility criteria for obtaining an account. So, the answer is age_limit."
"How do I reset a forgotten passcode, please?",passcode_forgotten,"The input example mentions a forgotten passcode, which indicates that the customer is experiencing an issue related to their passcode. This aligns with the category ""passcode_forgotten"" as it specifically addresses the situation where a customer has forgotten their passcode and needs assistance in resetting it. Therefore, the output ""passcode_forgotten"" is correct for this input example. So, the answer is passcode_forgotten."
"new customer and filling gas today, it's not working, the thing shows pending half an hour!",pending_top_up,"The output is ""pending_top_up"" because the customer's complaint mentions that they are a new customer and they are trying to fill gas today. However, the transaction is not working and it has been pending for half an hour. This indicates that the customer is experiencing an issue with their top-up transaction, which is causing a delay in the payment being processed. Therefore, the complaint falls under the category of ""pending_top_up"". So, the answer is pending_top_up."
What countries are supported?,country_support,"The input question ""What countries are supported?"" is asking about the countries that are supported by the bank. This falls under the category of ""country_support"" because it is a query related to the bank's support for different countries. The customer is seeking information about the countries where the bank's services are available. So, the answer is country_support."
What do you charge for physical cards?,order_physical_card,"The input query is asking about the cost or charges associated with physical cards. This falls under the category of ""order_physical_card"" because the customer is inquiring about the fees or charges related to ordering a physical card. This category specifically deals with queries related to the process, cost, or any other concerns regarding ordering a physical card. So, the answer is ""order_physical_card""."
Can you please make my top up go through as soon as possible. I really need the money and it has been pending for an hour already.,pending_top_up,"The output is correct because the customer's complaint is related to a pending top-up. The customer states that their top-up has been pending for an hour and they need the money urgently. This indicates that the customer is experiencing a delay in the processing of their top-up, resulting in a pending status. Therefore, the correct category for this input is ""pending_top_up"". So, the answer is pending_top_up."
"I need a card, but I'm in the US at the moment.",country_support,"The output is correct because the customer's query indicates that they are in the US and they need a card. The category ""country_support"" specifically addresses queries related to whether the bank supports a particular country or not. In this case, the customer is inquiring about the bank's support for the US, which falls under the category of ""country_support"". So, the answer is country_support."
"I received cash from the ATM earlier, but this shows up as pending in the app.  I've got the cash already.  How can this be still pending?",pending_cash_withdrawal,"The output is correct because the customer's complaint is related to a cash withdrawal from an ATM that is still showing as pending in the app. The customer mentions that they have already received the cash, indicating that the withdrawal was successful. However, the fact that it is still pending in the app suggests that there might be a delay or an issue with the system updating the transaction status. This aligns with the category ""pending_cash_withdrawal,"" which specifically addresses situations where a cash withdrawal is still pending in the app despite the customer having received the cash. So, the answer is pending_cash_withdrawal."
How long will it take for the transfer to reach my account?,transfer_timing,"The input example is asking about the timing of a transfer reaching the customer's account. This falls under the category of ""transfer_timing"" because it is a query related to the timing or duration of a transfer. The customer is specifically asking about how long it will take for the transfer to reach their account. So, the answer is transfer_timing."
I didn't receive the right amount of cash back,wrong_amount_of_cash_received,"The input example mentions that the person did not receive the right amount of cash back. This indicates that there was an issue with the cash withdrawal transaction. The category ""wrong_amount_of_cash_received"" specifically addresses complaints or queries related to receiving an incorrect amount of cash during a withdrawal. Therefore, based on the input example, the correct category for this query is ""wrong_amount_of_cash_received"". So, the answer is wrong_amount_of_cash_received."
I have paid by my card but payment is still its coming as pending. I think there is some issue please check and let me know when the status will complete.,pending_card_payment,"The output is correct because the customer's complaint indicates that they have made a payment using their card, but the payment is still pending. This aligns with the category ""pending_card_payment"" as the customer is specifically mentioning that their payment is in a pending status. So, the answer is pending_card_payment."
I made a payment but the app reverted the payment.,reverted_card_payment?,"The input example states that the user made a payment but the app reverted the payment. This indicates that the user experienced an issue with a payment made through the app. The category ""reverted_card_payment?"" is the most appropriate classification for this issue because it specifically refers to cases where a payment made with a card is reversed or cancelled. So, the answer is reverted_card_payment?."
Oh no!  I lost my card!  Help!,lost_or_stolen_card,"The input example ""Oh no! I lost my card! Help!"" indicates that the customer has lost their card. This falls under the category of ""lost_or_stolen_card"" because the customer is reporting the loss of their card and seeking assistance. So, the answer is lost_or_stolen_card."
